album_name,year_released,no_of_songs,order_released,single,solo,title_track
the_story_begins,2015,6,1,false,false,like_ooh-ahh
page_two,2016,6,1,false,false,cheer_up
twicecoaster:lane_1,2016,7,2,false,false,tt
twicecoaster:lane_2,2017,8,1,false,false,knock_knock
signal,2017,6,2,false,false,signal
twicetagram,2017,13,3,false,false,likey
merry_&_happy,2017,15,4,false,false,heart_shaker
what_is_love_?,2018,5,1,false,false,what_is_love
summer_nights,2018,9,2,false,false,dance_the_night_away
yes_or_yes,2018,7,3,false,false,yes_or_yes
fancy_you,2019,6,1,false,false,fancy
feel_special,2019,7,2,false,false,feel_special
more_&_more,2020,7,1,false,false,more_&_more
eyes_wide_open,2020,13,2,false,false,i_can't_stop_me
cry_for_me,2020,1,3,true,false,cry_for_me
taste_of_love,2021,6,1,false,false,alcohol-free
the_feels,2021,9,2,true,false,the_feels
formula_of_love:_O+T=<3,2021,16,3,false,false,scientist
im_nayeon,2022,7,1,false,true,pop!
between_1&2,2022,7,2,false,false,talk_that_talk
moonlight_sunrise,2023,1,1,true,false,moonlight_sunrise
ready_to_be,2023,7,2,false,false,set_me_free
zone,2023,7,3,false,true,killin'_me_good
i_got_you,2024,1,1,true,false,i_got_you
with_you-th,2024,6,2,false,false,one_spark
